name,type,parameters,description
bond_cb_adj_logs_jsl,function,['symbol'],"集思录-可转债转股价-调整记录
https://app.jisilu.cn/data/cbnew/#cb
:param symbol: 可转债代码
:type symbol: str
:return: 转股价调整记录
:rtype: pandas.DataFrame"
bond_cb_index_jsl,function,[],"首页-可转债-集思录可转债等权指数
https://www.jisilu.cn/web/data/cb/index
:return: 集思录可转债等权指数
:rtype: pandas.DataFrame"
bond_cb_jsl,function,['cookie'],"集思录可转债
https://app.jisilu.cn/data/cbnew/#cb
:param cookie: 输入获取到的游览器 cookie
:type cookie: str
:return: 集思录可转债
:rtype: pandas.DataFrame"
bond_cb_profile_sina,function,['symbol'],"新浪财经-债券-可转债-详情资料
https://money.finance.sina.com.cn/bond/info/sz128039.html
:param symbol: 带市场标识的转债代码
:type symbol: str
:return: 可转债-详情资料
:rtype: pandas.DataFrame"
bond_cb_redeem_jsl,function,[],"集思录可转债-强赎
https://www.jisilu.cn/data/cbnew/#redeem
:return: 集思录可转债-强赎
:rtype: pandas.DataFrame"
bond_cb_summary_sina,function,['symbol'],"新浪财经-债券-可转债-债券概况
https://money.finance.sina.com.cn/bond/quotes/sh155255.html
:param symbol: 带市场标识的转债代码
:type symbol: str
:return: 可转债-债券概况
:rtype: pandas.DataFrame"
bond_china_close_return,function,"['symbol', 'period', 'start_date', 'end_date']","收盘收益率曲线历史数据
https://www.chinamoney.com.cn/chinese/bkcurvclosedyhis/?bondType=CYCC000&reference=1
:param symbol: 需要获取的指标
:type period: choice of {'0.1', '0.5', '1'}
:param period: 期限间隔
:type symbol: st..."
bond_china_close_return_map,function,[],"收盘收益率曲线历史数据
https://www.chinamoney.com.cn/chinese/bkcurvclosedyhis/?bondType=CYCC000&reference=1
:return: 收盘收益率曲线历史数据
:rtype: pandas.DataFrame"
bond_china_yield,function,"['start_date', 'end_date']","中国债券信息网-国债及其他债券收益率曲线
https://www.chinabond.com.cn/
https://yield.chinabond.com.cn/cbweb-pbc-web/pbc/historyQuery?startDate=2019-02-07&endDate=2020-02-04&gjqx=0&qxId=ycqx&locale=cn_ZH
注意: end_date - st..."
bond_composite_index_cbond,function,"['indicator', 'period']","中国债券信息网-中债指数-中债指数族系-总指数-综合类指数-中债-综合指数
https://yield.chinabond.com.cn/cbweb-mn/indices/single_index_query
:param indicator: choice of {""全价"", ""净价"", ""财富"", ""平均市值法久期"", ""平均现金流法久期"", ""平均市值法凸性"", ""平均现金流法凸性"", ""平..."
bond_corporate_issue_cninfo,function,"['start_date', 'end_date']","巨潮资讯-数据中心-专题统计-债券报表-债券发行-企业债发行
http://webapi.cninfo.com.cn/#/thematicStatistics
:param start_date: 开始统计时间
:type start_date: str
:param end_date: 开始统计时间
:type end_date: str
:return: 企业债发行
:rtype: panda..."
bond_cov_comparison,function,[],"东方财富网-行情中心-债券市场-可转债比价表
https://quote.eastmoney.com/center/fullscreenlist.html#convertible_comparison
:return: 可转债比价表数据
:rtype: pandas.DataFrame"
bond_cov_issue_cninfo,function,"['start_date', 'end_date']","巨潮资讯-数据中心-专题统计-债券报表-债券发行-可转债发行
http://webapi.cninfo.com.cn/#/thematicStatistics
:param start_date: 开始统计时间
:type start_date: str
:param end_date: 开始统计时间
:type end_date: str
:return: 可转债发行
:rtype: panda..."
bond_cov_stock_issue_cninfo,function,[],"巨潮资讯-数据中心-专题统计-债券报表-债券发行-可转债转股
http://webapi.cninfo.com.cn/#/thematicStatistics
:return: 可转债转股
:rtype: pandas.DataFrame"
bond_deal_summary_sse,function,['date'],"上登债券信息网-市场数据-市场统计-市场概览-债券成交概览
http://bond.sse.com.cn/data/statistics/overview/turnover/
:param date: 指定日期
:type date: str
:return: 债券成交概览
:rtype: pandas.DataFrame"
bond_debt_nafmii,function,['page'],"中国银行间市场交易商协会-非金融企业债务融资工具注册信息系统
http://zhuce.nafmii.org.cn/fans/publicQuery/manager
:param page: 输入数字页码
:type page: int
:return: 指定 sector 和 indicator 的数据
:rtype: pandas.DataFrame"
bond_info_cm,function,"['bond_name', 'bond_code', 'bond_issue', 'bond_type', 'coupon_type', 'issue_year', 'underwriter', 'grade']","中国外汇交易中心暨全国银行间同业拆借中心-数据-债券信息-信息查询
https://www.chinamoney.com.cn/chinese/scsjzqxx/
:param bond_name: 债券名称
:type bond_name: str
:param bond_code: 债券代码
:type bond_code: str
:param bond_issue: 发行人/受托机构
:t..."
bond_info_cm_query,function,['symbol'],"中国外汇交易中心暨全国银行间同业拆借中心-查询相关指标的参数
https://www.chinamoney.com.cn/chinese/scsjzqxx/
:param symbol: choice of {""主承销商"", ""债券类型"", ""息票类型"", ""发行年份"", ""评级等级""}
:type symbol: str
:return: 查询相关指标的参数
:rtype: pandas.Dat..."
bond_info_detail_cm,function,['symbol'],"中国外汇交易中心暨全国银行间同业拆借中心-数据-债券信息-信息查询-债券详情
https://www.chinamoney.com.cn/chinese/zqjc/?bondDefinedCode=egfjh08154
:param symbol: 债券简称
:type symbol: str
:return: 债券详情
:rtype: pandas.DataFrame"
bond_local_government_issue_cninfo,function,"['start_date', 'end_date']","巨潮资讯-数据中心-专题统计-债券报表-债券发行-地方债发行
http://webapi.cninfo.com.cn/#/thematicStatistics
:param start_date: 开始统计时间
:type start_date: str
:param end_date: 开始统计时间
:type end_date: str
:return: 地方债发行
:rtype: panda..."
bond_new_composite_index_cbond,function,"['indicator', 'period']","中国债券信息网-中债指数-中债指数族系-总指数-综合类指数-中债-新综合指数
https://yield.chinabond.com.cn/cbweb-mn/indices/single_index_query
:param indicator: choice of {""全价"", ""净价"", ""财富"", ""平均市值法久期"", ""平均现金流法久期"", ""平均市值法凸性"", ""平均现金流法凸性"", ""..."
bond_spot_deal,function,[],"中国外汇交易中心暨全国银行间同业拆借中心-市场数据-债券市场行情-现券市场成交行情
https://www.chinamoney.com.cn/chinese/mkdatabond/
:return: 现券市场成交行情
:rtype: pandas.DataFrame"
bond_spot_quote,function,[],"中国外汇交易中心暨全国银行间同业拆借中心-市场数据-债券市场行情-现券市场做市报价
https://www.chinamoney.com.cn/chinese/mkdatabond/
:return: 现券市场做市报价
:rtype: pandas.DataFrame"
bond_treasure_issue_cninfo,function,"['start_date', 'end_date']","巨潮资讯-数据中心-专题统计-债券报表-债券发行-国债发行
http://webapi.cninfo.com.cn/#/thematicStatistics
:param start_date: 开始统计时间
:type start_date: str
:param end_date: 结束统计数据
:type end_date: str
:return: 国债发行
:rtype: pandas...."
bond_zh_cov,function,[],"东方财富网-数据中心-新股数据-可转债数据
https://data.eastmoney.com/kzz/default.html
:return: 可转债数据
:rtype: pandas.DataFrame"
bond_zh_cov_info,function,"['symbol', 'indicator']","https://data.eastmoney.com/kzz/detail/123121.html
东方财富网-数据中心-新股数据-可转债详情
:param symbol: 可转债代码
:type symbol: str
:param indicator: choice of {""基本信息"", ""中签号"", ""筹资用途"", ""重要日期""}
:type indicator: str
:return:..."
bond_zh_cov_info_ths,function,[],"同花顺-数据中心-可转债
https://data.10jqka.com.cn/ipo/bond/
:return: 可转债行情
:rtype: pandas.DataFrame"
bond_zh_cov_value_analysis,function,['symbol'],"https://data.eastmoney.com/kzz/detail/113527.html
东方财富网-数据中心-新股数据-可转债数据-价值分析-溢价率分析
:return: 可转债价值分析
:rtype: pandas.DataFrame"
bond_zh_hs_cov_daily,function,['symbol'],"新浪财经-债券-沪深可转债的历史行情数据, 大量抓取容易封 IP
https://vip.stock.finance.sina.com.cn/mkt/#hskzz_z
:param symbol: 沪深可转债代码; e.g., sh010107
:type symbol: str
:return: 指定沪深可转债代码的日 K 线数据
:rtype: pandas.DataFrame"
bond_zh_hs_cov_min,function,"['symbol', 'period', 'adjust', 'start_date', 'end_date']","东方财富网-可转债-分时行情
https://quote.eastmoney.com/concept/sz128039.html
:param symbol: 转债代码
:type symbol: str
:param period: choice of {'1', '5', '15', '30', '60'}
:type period: str
:param adjust: choice of ..."
bond_zh_hs_cov_pre_min,function,['symbol'],"东方财富网-可转债-分时行情-盘前
https://quote.eastmoney.com/concept/sz128039.html
:param symbol: 转债代码
:type symbol: str
:return: 分时行情-盘前
:rtype: pandas.DataFrame"
bond_zh_hs_cov_spot,function,[],"新浪财经-债券-沪深可转债的实时行情数据; 大量抓取容易封IP
https://vip.stock.finance.sina.com.cn/mkt/#hskzz_z
:return: 所有沪深可转债在当前时刻的实时行情数据
:rtype: pandas.DataFrame"
bond_zh_hs_daily,function,['symbol'],"新浪财经-债券-沪深债券-历史行情数据, 大量抓取容易封 IP
https://vip.stock.finance.sina.com.cn/mkt/#hs_z
:param symbol: 沪深债券代码; e.g., sh010107
:type symbol: str
:return: 指定沪深债券代码的日 K 线数据
:rtype: pandas.DataFrame"
bond_zh_hs_spot,function,"['start_page', 'end_page']","新浪财经-债券-沪深债券-实时行情数据, 大量抓取容易封IP
https://vip.stock.finance.sina.com.cn/mkt/#hs_z
:return: 所有沪深债券在当前时刻的实时行情数据
:rtype: pandas.DataFrame"
bond_zh_us_rate,function,['start_date'],"东方财富网-数据中心-经济数据-中美国债收益率
https://data.eastmoney.com/cjsj/zmgzsyl.html
:param start_date: 开始统计时间
:type start_date: str
:return: 中美国债收益率
:rtype: pandas.DataFrame"
business_value_artist,function,[],"艺恩-艺人-艺人商业价值
https://www.endata.com.cn/Marketing/Artist/business.html
:return: 艺人商业价值
:rtype: pandas.DataFrame"
car_market_cate_cpca,function,"['symbol', 'indicator']","乘联会-统计数据-车型大类
http://data.cpcadata.com/CategoryMarket
:param symbol: choice of {""轿车"", ""MPV"", ""SUV"", ""占比""}
:type symbol: str
:param indicator: choice of {""批发"", ""零售""}
:type indicator: str
:return: 统计数据-..."
car_market_country_cpca,function,[],"乘联会-统计数据-国别细分市场
http://data.cpcadata.com/CountryMarket
:return: 统计数据-车型大类
:rtype: pandas.DataFrame"
car_market_fuel_cpca,function,['symbol'],"乘联会-统计数据-新能源细分市场
:param symbol: choice of {""整体市场"", ""销量占比-PHEV-BEV"", ""销量占比-ICE-NEV""}
:type symbol: str
https://data.cpcadata.com/FuelMarket
:return: 新能源细分市场
:rtype: pandas.DataFrame"
car_market_man_rank_cpca,function,"['symbol', 'indicator']","乘联会-统计数据-厂商排名
http://data.cpcadata.com/ManRank
:param symbol: choice of {""狭义乘用车-单月"", ""狭义乘用车-累计"", ""广义乘用车-单月"", ""广义乘用车-累计""}
:type symbol: str
:param indicator: choice of {""批发"", ""零售""}
:type indicator: str..."
car_market_segment_cpca,function,['symbol'],"乘联会-统计数据-级别细分市场
http://data.cpcadata.com/SegmentMarket
:param symbol: choice of {""轿车"", ""MPV"", ""SUV""}
:type symbol: str
:return: 统计数据-车型大类
:rtype: pandas.DataFrame"
car_market_total_cpca,function,"['symbol', 'indicator']","乘联会-统计数据-总体市场
http://data.cpcadata.com/TotalMarket
:param symbol: choice of {""狭义乘用车"", ""广义乘用车""}
:type symbol: str
:param indicator: choice of {""产量"", ""批发"", ""零售"", ""出口""}
:type indicator: str
:return: 统计数据..."
car_sale_rank_gasgoo,function,"['symbol', 'date']","盖世汽车-汽车行业制造企业数据库-销量数据
https://i.gasgoo.com/data/ranking
:param symbol: choice of {""车企榜"", ""品牌榜"", ""车型榜""}
:type symbol: str
:param date: 查询的年份和月份
:type date: str
:return: 销量数据
:rtype: pandas.DataFrame"
cost_living,function,['symbol'],"国家或地区生活成本数据
https://expatistan.com/cost-of-living/index
:param symbol: choice of {""europe"", ""north-america"", ""latin-america"",
""asia"", ""middle-east"", ""africa"", ""oceania"", ""world""}
:type symbol: str
:re..."
crypto_bitcoin_cme,function,['date'],"芝加哥商业交易所-比特币成交量报告
https://datacenter.jin10.com/reportType/dc_cme_btc_report
:return: 比特币成交量报告
:rtype: pandas.DataFrame"
crypto_bitcoin_hold_report,function,[],"金十数据-比特币持仓报告
https://datacenter.jin10.com/dc_report?name=bitcoint
:return: 比特币持仓报告
:rtype: pandas.DataFrame"
crypto_js_spot,function,[],"主流加密货币的实时行情数据, 一次请求返回具体某一时刻行情数据
https://datacenter.jin10.com/reportType/dc_bitcoin_current
:return: pandas.DataFrame"
currency_boc_safe,function,[],"人民币汇率中间价
https://www.safe.gov.cn/safe/rmbhlzjj/index.html
:return: 人民币汇率中间价
:rtype: pandas.DataFrame"
currency_boc_sina,function,"['symbol', 'start_date', 'end_date']","新浪财经-中行人民币牌价历史数据查询
https://biz.finance.sina.com.cn/forex/forex.php?startdate=2012-01-01&enddate=2021-06-14&money_code=EUR&type=0
:param symbol: choice of {'美元', '英镑', '欧元', '澳门元', '泰国铢', '菲律宾比索', '港币'..."
currency_convert,function,"['base', 'to', 'amount', 'api_key']","currencies data from currencyscoop.com
https://currencyscoop.com/api-documentation
:param base: The base currency you would like to use for your rates
:type base: str
:param to: The currency you would..."
currency_currencies,function,"['c_type', 'api_key']","currencies data from currencyscoop.com
https://currencyscoop.com/api-documentation
:param c_type: now only ""fiat"" can return data
:type c_type: str
:param api_key: Account -> Account Details -> API KE..."
currency_history,function,"['base', 'date', 'symbols', 'api_key']","Latest data from currencyscoop.com
https://currencyscoop.com/api-documentation
:param base: The base currency you would like to use for your rates
:type base: str
:param date: Specific date, e.g., ""20..."
currency_latest,function,"['base', 'symbols', 'api_key']","Latest data from currencyscoop.com
https://currencyscoop.com/api-documentation
:param base: The base currency you would like to use for your rates
:type base: str
:param symbols: A list of currencies ..."
currency_pair_map,function,['symbol'],"指定货币的所有可获取货币对的数据
https://cn.investing.com/currencies/cny-jmd
:param symbol: 指定货币
:type symbol: str
:return: 指定货币的所有可获取货币对的数据
:rtype: pandas.DataFrame"
currency_time_series,function,"['base', 'start_date', 'end_date', 'symbols', 'api_key']","Time-series data from currencyscoop.com
P.S. need special authority
https://currencyscoop.com/api-documentation
:param base: The base currency you would like to use for your rates
:type base: str
:par..."
drewry_wci_index,function,['symbol'],"Drewry 集装箱指数
https://infogram.com/world-container-index-1h17493095xl4zj
:param symbol: choice of {""composite"", ""shanghai-rotterdam"", ""rotterdam-shanghai"", ""shanghai-los angeles"",
""los angeles-shanghai..."
energy_carbon_bj,function,[],"北京市碳排放权电子交易平台-北京市碳排放权公开交易行情
https://www.bjets.com.cn/article/jyxx/
:return: 北京市碳排放权公开交易行情
:rtype: pandas.DataFrame"
energy_carbon_domestic,function,['symbol'],"碳交易网-行情信息
http://www.tanjiaoyi.com/
:param symbol: choice of {'湖北', '上海', '北京', '重庆', '广东', '天津', '深圳', '福建'}
:type symbol: str
:return: 行情信息
:rtype: pandas.DataFrame"
energy_carbon_eu,function,[],"深圳碳排放交易所-国际碳情
http://www.cerx.cn/dailynewsOuter/index.htm
:return: 国际碳情每日行情数据
:rtype: pandas.DataFrame"
energy_carbon_gz,function,[],"广州碳排放权交易中心-行情信息
http://www.cnemission.com/article/hqxx/
:return: 行情信息数据
:rtype: pandas.DataFrame"
energy_carbon_hb,function,[],"湖北碳排放权交易中心-现货交易数据-配额-每日概况
http://www.hbets.cn/list/13.html?page=42
:return: 现货交易数据-配额-每日概况行情数据
:rtype: pandas.DataFrame"
energy_carbon_sz,function,[],"深圳碳排放交易所-国内碳情
http://www.cerx.cn/dailynewsCN/index.htm
:return: 国内碳情每日行情数据
:rtype: pandas.DataFrame"
energy_oil_detail,function,['date'],"全国各地区的汽油和柴油油价
https://data.eastmoney.com/cjsj/oil_default.html
:param date: 可以调用 ak.energy_oil_hist() 得到可以获取油价的调整时间
:type date: str
:return: oil price at specific date
:rtype: pandas.DataFrame"
energy_oil_hist,function,[],"汽柴油历史调价信息
https://data.eastmoney.com/cjsj/oil_default.html
:return: 汽柴油历史调价信息
:rtype: pandas.DataFrame"
forbes_rank,function,['symbol'],"福布斯中国-榜单
https://www.forbeschina.com/lists
https://www.forbeschina.com/lists/1750
:param symbol: choice of {""2020福布斯美国富豪榜"", ""2020福布斯新加坡富豪榜"", ""2020福布斯中国名人榜"", *}
:type symbol: str
:return: 具体指标的榜单
:rtyp..."
forex_hist_em,function,['symbol'],"东方财富网-行情中心-外汇市场-所有汇率-历史行情数据
https://quote.eastmoney.com/cnyrate/EURCNYC.html
:param symbol: 品种代码；可以通过 ak.forex_spot_em() 来获取所有可获取历史行情数据的品种代码
:type symbol: str
:return: 历史行情数据
:rtype: pandas.DataFrame"
forex_spot_em,function,[],"东方财富网-行情中心-外汇市场-所有汇率-实时行情数据
https://quote.eastmoney.com/center/gridlist.html#forex_all
:return: 实时行情数据
:rtype: pandas.DataFrame"
fred_md,function,['date'],"The accompanying paper shows that factors extracted from the FRED-MD dataset share the same predictive content as those based on the various vintages of the so-called Stock-Watson data. In addition, i..."
fred_qd,function,['date'],"FRED-QD is a quarterly frequency companion to FRED-MD. It is designed to emulate the dataset used in ""Disentangling the Channels of the 2007-2009 Recession"" by Stock and Watson (2012, NBER WP No. 1809..."
fund_announcement_personnel_em,function,['symbol'],"东方财富网站-天天基金网-基金档案-基金公告-人事调整
https://fundf10.eastmoney.com/jjgg_000001_4.html
:param symbol: 基金代码; 可以通过调用 ak.fund_name_em() 接口获取
:type symbol: str
:return: 人事调整-公告列表
:rtype: pandas.DataFrame"
fund_aum_em,function,[],"东方财富-基金-基金公司排名列表
https://fund.eastmoney.com/Company/lsgm.html
:return: 基金公司排名列表
:rtype: pandas.DataFrame"
fund_aum_hist_em,function,['year'],"东方财富-基金-基金公司历年管理规模排行列表
https://fund.eastmoney.com/Company/lsgm.html
:return: 基金公司历年管理规模排行列表
:rtype: pandas.DataFrame"
fund_aum_trend_em,function,[],"东方财富-基金-基金市场管理规模走势图
https://fund.eastmoney.com/Company/default.html
:return: 基金市场管理规模走势图
:rtype: pandas.DataFrame"
fund_balance_position_lg,function,[],"乐咕乐股-基金仓位-平衡混合型基金仓位
https://legulegu.com/stockdata/fund-position/pos-pingheng
:return: 平衡混合型基金仓位
:rtype: pandas.DataFrame"
fund_cf_em,function,[],"天天基金网-基金数据-分红送配-基金拆分
https://fund.eastmoney.com/data/fundchaifen.html#FSRQ,desc,1,,,
:return: 基金拆分
:rtype: pandas.DataFrame"
fund_etf_category_sina,function,['symbol'],"新浪财经-基金列表
https://vip.stock.finance.sina.com.cn/fund_center/index.html#jjhqetf
:param symbol: choice of {""封闭式基金"", ""ETF基金"", ""LOF基金""}
:type symbol: str
:return: 指定 symbol 的基金列表
:rtype: pandas.DataFrame"
fund_etf_dividend_sina,function,['symbol'],"新浪财经-基金-ETF 基金-累计分红
https://finance.sina.com.cn/fund/quotes/510050/bc.shtml
:param symbol: 基金名称, 可以通过 ak.fund_etf_category_sina() 函数获取
:type symbol: str
:return: 累计分红
:rtype: pandas.DataFrame"
fund_etf_fund_daily_em,function,[],"东方财富网-天天基金网-基金数据-场内交易基金
https://fund.eastmoney.com/cnjy_dwjz.html
:return: 当前交易日的所有场内交易基金数据
:rtype: pandas.DataFrame"
fund_etf_fund_info_em,function,"['fund', 'start_date', 'end_date']","东方财富网站-天天基金网-基金数据-场内交易基金-历史净值明细
https://fundf10.eastmoney.com/jjjz_511280.html
:param fund: 场内交易基金代码, 可以通过 fund_etf_fund_daily_em 来获取
:type fund: str
:param start_date: 开始统计时间
:type start_date: str
:p..."
fund_etf_hist_em,function,"['symbol', 'period', 'start_date', 'end_date', 'adjust']","东方财富-ETF行情
https://quote.eastmoney.com/sz159707.html
:param symbol: ETF 代码
:type symbol: str
:param period: choice of {'daily', 'weekly', 'monthly'}
:type period: str
:param start_date: 开始日期
:type sta..."
fund_etf_hist_min_em,function,"['symbol', 'start_date', 'end_date', 'period', 'adjust']","东方财富-ETF 行情
https://quote.eastmoney.com/sz159707.html
:param symbol: ETF 代码
:type symbol: str
:param start_date: 开始日期
:type start_date: str
:param end_date: 结束日期
:type end_date: str
:param period: cho..."
fund_etf_hist_sina,function,['symbol'],"新浪财经-基金-ETF 基金-日行情数据
https://finance.sina.com.cn/fund/quotes/159996/bc.shtml
:param symbol: 基金名称, 可以通过 ak.fund_etf_category_sina() 函数获取
:type symbol: str
:return: 日行情数据
:rtype: pandas.DataFrame"
fund_etf_spot_em,function,[],"东方财富-ETF 实时行情
https://quote.eastmoney.com/center/gridlist.html#fund_etf
:return: ETF 实时行情
:rtype: pandas.DataFrame"
fund_etf_spot_ths,function,['date'],"同花顺理财-基金数据-每日净值-ETF-实时行情
https://fund.10jqka.com.cn/datacenter/jz/kfs/etf/
:return: ETF 实时行情
:rtype: pandas.DataFrame"
fund_exchange_rank_em,function,[],"东方财富网-数据中心-场内交易基金排行
https://fund.eastmoney.com/data/fbsfundranking.html
:return: 场内交易基金数据
:rtype: pandas.DataFrame"
